movie_id,image_url,movie_title,year_released
a-cat-in-paris,sm/upload/bj/wo/mj/6d/lYt6VAP26Eu9vOl5OmfwHDp9arg-0-230-0-345-crop,,
a-charlie-brown-christmas,film-poster/4/4/0/6/6/44066-a-charlie-brown-christmas-0-230-0-345-crop,,
a-charlie-brown-thanksgiving,film-poster/4/3/8/5/7/43857-a-charlie-brown-thanksgiving-0-230-0-345-crop,,
a-chinese-ghost-story,film-poster/3/2/0/4/6/32046-a-chinese-ghost-story-0-230-0-345-crop,,
a-chorus-line,film-poster/5/0/7/7/7/50777-a-chorus-line-0-230-0-345-crop,,
a-christmas-carol-1984,film-poster/4/4/0/6/4/44064-a-christmas-carol-0-230-0-345-crop,,
a-christmas-carol-2009,film-poster/4/0/6/5/3/40653-a-christmas-carol-0-230-0-345-crop,,
a-christmas-prince,film-poster/4/1/3/8/5/5/413855-a-christmas-prince-0-230-0-345-crop,,
a-christmas-prince-the-royal-baby,film-poster/5/1/5/5/6/2/515562-a-christmas-prince-the-royal-baby-0-230-0-345-crop,,
a-christmas-prince-the-royal-wedding,film-poster/4/5/4/4/7/1/454471-a-christmas-prince-the-royal-wedding-0-230-0-345-crop,,
a-christmas-story-1983,film-poster/5/1/3/0/2/51302-a-christmas-story-1983-0-230-0-345-crop,,
a-christmas-story-christmas,film-poster/8/3/4/8/6/3/834863-a-christmas-story-christmas-0-230-0-345-crop,,
a-cinderella-story,film-poster/4/5/4/6/4/45464-a-cinderella-story-0-230-0-345-crop,,
a-cinderella-story-once-upon-a-song,film-poster/6/1/4/6/2/61462-a-cinderella-story-once-upon-a-song-0-230-0-345-crop,,
a-city-of-sadness,film-poster/1/5/6/5/1/15651-a-city-of-sadness-0-230-0-345-crop,,
a-classic-horror-story,film-poster/6/8/8/0/6/4/688064-a-classic-horror-story-0-230-0-345-crop,,
a-clockwork-orange,film-poster/5/1/8/6/7/51867-a-clockwork-orange-0-230-0-345-crop,,
a-close-shave-1995,film-poster/5/1/5/8/5/51585-a-close-shave-0-230-0-345-crop,,
a-complete-unknown,film-poster/5/8/6/5/8/3/586583-a-complete-unknown-0-230-0-345-crop,,
a-confucian-confusion,film-poster/1/1/8/3/7/11837-a-confucian-confusion-0-230-0-345-crop,,
a-cop-1972,film-poster/2/2/3/4/9/22349-un-flic-0-230-0-345-crop,,
a-corner-in-wheat,film-poster/1/6/3/2/3/16323-a-corner-in-wheat-0-230-0-345-crop,,
a-cure-for-wellness,film-poster/2/7/0/1/7/7/270177-a-cure-for-wellness-0-230-0-345-crop,,
a-dangerous-method,film-poster/1/7/2/8/8/17288-a-dangerous-method-0-230-0-345-crop,,
a-dark-song,film-poster/3/4/3/4/1/8/343418-a-dark-song-0-230-0-345-crop,,
a-day-in-the-country,film-poster/2/1/2/7/9/21279-a-day-in-the-country-0-230-0-345-crop,,
a-different-man,film-poster/8/9/1/2/9/1/891291-a-different-man-0-230-0-345-crop,,
a-dirty-shame,sm/upload/yp/22/yw/51/s1Cke4EBs416FPqoif6tTpxI3Am-0-230-0-345-crop,,
a-dogs-journey,film-poster/4/5/2/1/0/0/452100-a-dog-s-journey-0-230-0-345-crop,,
a-dogs-life,film-poster/2/8/0/9/5/28095-a-dog-s-life-0-230-0-345-crop,,
a-dogs-purpose,film-poster/3/1/6/3/1/6/316316-a-dog-s-purpose-0-230-0-345-crop,,
a-dogs-way-home,film-poster/4/3/8/5/4/8/438548-a-dog-s-way-home-0-230-0-345-crop,,
a-dogs-will,film-poster/2/4/7/8/8/24788-a-dog-s-will-0-230-0-345-crop,,
a-face-in-the-crowd,film-poster/5/5/9/5/0/55950-a-face-in-the-crowd-0-230-0-345-crop,,
a-fairly-odd-movie-grow-up-timmy-turner,film-poster/5/9/1/1/2/59112-a-fairly-odd-movie-grow-up-timmy-turner--0-230-0-345-crop,,
a-family-affair-2024-1,film-poster/8/8/9/1/7/8/889178-a-family-affair-0-230-0-345-crop,,
a-fantastic-woman,sm/upload/7q/eh/og/tr/luHcKY1HqGWPmI5d18bgkCul3wk-0-230-0-345-crop,,
a-farewell-to-arms,film-poster/3/7/7/6/7/37767-a-farewell-to-arms-0-230-0-345-crop,,
a-few-good-men,sm/upload/dw/l7/qy/bb/WgWLwk55YaXFZdlMnPJTKlxGcz-0-230-0-345-crop,,
a-field-in-england,sm/upload/pd/gu/t9/sd/rMe6ofbSzuhaxMebadufN1WbQOI-0-230-0-345-crop,,
a-fish-called-wanda,sm/upload/2z/gn/ar/4j/hkSGFNVfEEUXFCxRZDITFHVhUlu-0-230-0-345-crop,,
a-fistful-of-dollars,film-poster/5/1/6/9/8/51698-a-fistful-of-dollars-0-230-0-345-crop,,
a-fistful-of-fingers,film-poster/1/2/9/2/5/12925-a-fistful-of-fingers-0-230-0-345-crop,,
a-foreign-affair,film-poster/5/0/7/8/5078-a-foreign-affair-0-230-0-345-crop,,
a-futile-and-stupid-gesture,film-poster/3/2/6/2/7/7/326277-a-futile-and-stupid-gesture-0-230-0-345-crop,,
a-ghost-story-2017,sm/upload/zx/51/yo/oc/ydENrBUenr4khaP6tj4JZn1CpMs-0-230-0-345-crop,,
a-girl-walks-home-alone-at-night,film-poster/1/7/6/0/5/3/176053-a-girl-walks-home-alone-at-night-0-230-0-345-crop,,
a-glimpse-inside-the-mind-of-charles-swan-iii,sm/upload/9a/vm/hz/qs/6KeYxz1wzjvkvUhkiva9ULzipQY-0-230-0-345-crop,,
a-glitch-in-the-matrix-2021,film-poster/6/1/9/9/1/7/619917-a-glitch-in-the-matrix-0-230-0-345-crop,,
a-good-day-to-die-hard,sm/upload/th/96/ry/3e/fZ8bzoRXaloY9qLrRs7pXOCos8a-0-230-0-345-crop,,
a-good-person-2023,film-poster/7/1/8/2/3/6/718236-a-good-person-0-230-0-345-crop,,
a-good-year,film-poster/4/6/8/8/1/46881-a-good-year-0-230-0-345-crop,,
a-goofy-movie,film-poster/4/2/1/0/1/42101-a-goofy-movie-0-230-0-345-crop,,
a-grand-day-out,film-poster/5/1/5/8/7/51587-a-grand-day-out-0-230-0-345-crop,,
a-hard-days-night,film-poster/5/1/4/2/2/51422-a-hard-day-s-night-0-230-0-345-crop,,
a-haunted-house,film-poster/1/0/6/4/1/0/106410-a-haunted-house-0-230-0-345-crop,,
a-haunted-house-2,sm/upload/fe/1j/3g/ab/a-haunted-house-2-0-230-0-345-crop,,
a-haunting-in-venice,film-poster/8/5/0/3/7/5/850375-a-haunting-in-venice-0-230-0-345-crop,,
a-hero,film-poster/5/9/6/8/0/9/596809-a-hero-0-230-0-345-crop,,
a-hidden-life-2019,film-poster/3/3/7/8/9/9/337899-a-hidden-life-0-230-0-345-crop,,
a-history-of-violence,sm/upload/7g/wl/b8/1g/mz1qCHXxTUJm2AqOdW3IIpwYdo3-0-230-0-345-crop,,
a-house-made-of-splinters,film-poster/8/2/0/0/6/5/820065-a-house-made-of-splinters-0-230-0-345-crop,,
